Project Title,Administering  IC,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Contact PI  Person ID,Contact PI / Project Leader,Organization Name,FY,FY Total Cost 
THE ROLE OF SPARC IN LUNG FIBROSIS,NIEHS,1R15ES022396-01,1,R15,ES,22396,1,,2793573,"PUTNAM, ELIZABETH A",UNIVERSITY OF MONTANA,2013,420011
DEVELOPING GENETIC TRANSFORMATION SYSTEM IN VEILLONELLAE,NIDCR,2R15DE019940-02,2,R15,DE,19940,2,,6979805,"QI, FENGXIA ",UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,2012,370000
REFINEMENT OF LC/ESR/MS FOR STUDYING LIPID FREE RADICALS IN COLON CANCER GROWTH,NCI,1R15CA140833-01,1,R15,CA,140833,1,,8632048,"QIAN, STEVEN YUE",NORTH DAKOTA STATE UNIVERSITY,2009,215250
PREDICTION ERROR IN CONTEXTUAL FEAR MEMORY RECONSOLIDATION,NIMH,1R15MH100689-01,1,R15,MH,100689,1,,10696746,"QUINN, JENNIFER J",MIAMI UNIVERSITY OXFORD,2013,401121
BELIEFS ABOUT THE ROLE OF NUTRITION ON MIND-BODY INTERACTIONS,NICHD,1R15HD058303-01A1,1,R15,HD,58303,1,A1,8895202,"RAMAN, LAKSHMI ",OAKLAND UNIVERSITY,2009,222000
ROLE OF MECHANICAL FORCES IN CARDIAC S-LOOPING,NHLBI,1R15HL110009-01,1,R15,HL,110009,1,,7984410,"RAMASUBRAMANIAN, ASHOK ",UNION COLLEGE,2011,300000
NOVEL IMAGING SYSTEM TO OBJECTIVELY ASSESS THE NATURAL HISTORY OF TREATED AND UNT,NIBIB,7R15EB013439-02,7,R15,EB,13439,2,,8920710,"RAMELLA ROMAN, JESSICA C.",FLORIDA INTERNATIONAL UNIVERSITY,2011,49496
TARGETING INFLAMMATION FOR THE AMELIORATION OF CISPLATIN-HEARING LOSS,NIDCD,1R15DC011412-01A1,1,R15,DC,11412,1,A1,1897122,"RAMKUMAR, VICKRAM ",SOUTHERN ILLINOIS UNIVERSITY SCH OF MED,2011,436500
ANTIOXIDANT ACTIVITIES OF FREEZE DRIED ACAI BERRY (EUTERPE OLERACEA)EXTRACTS,NCCAM,1R15AT007860-01A1,1,R15,AT,7860,1,A1,6197790,"RANER, GREGORY M",UNIVERSITY OF NORTH CAROLINA GREENSBORO,2013,404633
MTDNA HETEROPLASMY IN DEVELOPMENT AND DIFFERENTIATION: AN IN-VITRO APPROACH,NINDS,1R15NS080157-01A1,1,R15,NS,80157,1,A1,8341219,"RAO, RAJ RAGHAVENDRA ",VIRGINIA COMMONWEALTH UNIVERSITY,2013,352172
COMPUTATIONAL MODELING OF POST-TRANSLATIONAL MODIFICATIONS IN PROTEINS,NIGMS,1R15GM098997-01,1,R15,GM,98997,1,,10699378,"RAPP, CHAYA K",YESHIVA UNIVERSITY,2011,250083
INTERACTIONS OF C-REACTIVE PROTEIN WITH HIGHLY CURVED LIPID MEMBRANES,NIGMS,2R15GM088960-02,2,R15,GM,88960,2,,7943965,"REED, SCOTT M",UNIVERSITY OF COLORADO DENVER,2013,355925
TREATMENT OF TRAUMATICALLY BRAIN INJURED RATS WITH GAMMA GLUTAMYLCYSTEINE ETHYL E,NINDS,1R15NS072870-01A1,1,R15,NS,72870,1,A1,9835336,"REED, TANEA TYLETTE",EASTERN KENTUCKY UNIVERSITY,2011,394197
COMPLEMENT ACTIVATION IN PREGNANCY AND HYPERTENSION,NHLBI,2R15HL109843-02,2,R15,HL,109843,2,,1883454,"REGAL, JEAN F.",UNIVERSITY OF MINNESOTA DULUTH,2013,437218
MICRORNA EXPRESSION IN THE NZB/W LUPUS MOUSE,NIAMS,1R15AR062883-01A1,1,R15,AR,62883,1,A1,8320233,"REILLY, CHRISTOPHER MICHAEL",VIRGINIA POLYTECHNIC INST AND ST UNIV,2013,397974
FLUID FLOW MAY BE AN ENVIRONMENTAL MODIFIER OF ADPKD DISEASE PROGRESSION,NIDDK,1R15DK092716-01,1,R15,DK,92716,1,,8635112,"RESNICK, ANDREW ",CLEVELAND STATE UNIVERSITY,2011,332344
HEALTH EFFECTS OF ADOLESCENT WATER PIPE SMOKING WITH & WITHOUT CIGARETTE SMOKING,NIDA,1R15DA032822-01,1,R15,DA,32822,1,,1881955,"RICE, VIRGINIA HILL",WAYNE STATE UNIVERSITY,2012,440812
EPO INCREASES MACROPHAGE SUPPRESSION,NCI,1R15CA173688-01A1,1,R15,CA,173688,1,A1,1862123,"RIGGS, JAMES EDWARD",RIDER UNIVERSITY,2014,364593
A MODEL SYSTEM TO STUDY THE TUMOR SUPPRESSOR APC AND ITS ROLE IN WNT REGULATION.,NIGMS,1R15GM107796-01,1,R15,GM,107796,1,,11419476,"ROBERTS, DAVID ",FRANKLIN AND MARSHALL COLLEGE,2013,278490
ELUCIDATING THE MECHANISM OF HEME TRANSPORT ACROSS THE OUTER MEMBRANE OF GRAM-NEG,NIAID,2R15AI072719-02A1,2,R15,AI,72719,2,A1,8571961,"RODGERS, KENTON ",NORTH DAKOTA STATE UNIVERSITY,2011,416263
DEVELOPMENT AND VALIDATION OF A CHITIN ASSAY FOR ENVIRONMENTAL SAMPLES,NIEHS,1R15ES021603-01,1,R15,ES,21603,1,,7867129,"ROGERS, CHRISTINE ANNE",UNIVERSITY OF MASSACHUSETTS AMHERST,2012,397396
MOLECULAR MECHANISMS OF APOE4 PROTEOLYSIS IN ALZHEIMER'S DISEASE,NIA,1R15AG042781-01A1,1,R15,AG,42781,1,A1,6692108,"ROHN, TROY T",BOISE STATE UNIVERSITY,2013,284462
IMPACT OF INTERACTIVE VIDEO GAMES ON UNDERSERVED CHILDREN'S HEALTH,NICHD,1R15HD071514-01A1,1,R15,HD,71514,1,A1,11964952,"RONCESVALLES, NIDA ",TEXAS TECH UNIVERSITY,2012,432225
LIPID GLYCERYL ESTER HOMEOSTASIS IN MACROPHAGES AND PERTURBATION BY ENVIRONMENTAL,NIEHS,2R15ES015348-02,2,R15,ES,15348,2,,1953076,"ROSS, MATTHEW K",MISSISSIPPI STATE UNIVERSITY,2012,425457
PROTEIN KINASE C SUBSTRATES IN HUMAN BREAST CANCER,NCI,2R15CA125632-03,2,R15,CA,125632,3,,1894134,"ROTENBERG, SUSAN A.",QUEENS COLLEGE,2013,465000
MATERNAL METHYLMERCURY EXPOSURE THROUGH RICE INGESTION AND OFFSPRING DEVELOPMENT,NIEHS,1R15ES022409-01,1,R15,ES,22409,1,,9753883,"ROTHENBERG, SARAH ",UNIVERSITY OF SOUTH CAROLINA AT COLUMBIA,2013,394974
EXPLOITING DEEP OCEAN BIOLOGY FOR BIOMEDICAL DISCOVERY,NIAID,1R15AI093158-01,1,R15,AI,93158,1,,8670966,"ROWLEY, DAVID C",UNIVERSITY OF RHODE ISLAND,2011,418299
BIOCHEMISTRY AND ROLE OF AN RNA-DEPENDENT MEMBRANE MODIFICATION PATHWAY,NIGMS,1R15GM109404-01,1,R15,GM,109404,1,,9853741,"ROY, HERVE ",UNIVERSITY OF CENTRAL FLORIDA,2014,311268
GENOMIC ANALYSES OF INTRASPECIFIC PATTERNS OF EXTREME RECOMBINATION IN HONEY BEES,NIGMS,1R15GM102753-01,1,R15,GM,102753,1,,8533752,"RUEPPELL, OLAV ",UNIVERSITY OF NORTH CAROLINA GREENSBORO,2012,287000
THE ROLE OF TMEFF2 IN PROSTATE CANCER DEVELOPMENT,NCI,1R15CA155873-01,1,R15,CA,155873,1,,8224720,"RUIZ-ECHEVARRIA, MARIA JESUS",EAST CAROLINA UNIVERSITY,2011,423803
SODALIS GLOSSINIDIUS IRON ACQUISITION,NIAID,1R15AI094343-01A1,1,R15,AI,94343,1,A1,8535397,"RUNYEN-JANECKY, LAURA JANE",UNIVERSITY OF RICHMOND,2012,344059
THE EFFECTS OF KETOGENIC DIETS ON INFLAMMATION AND CHRONIC PAIN,NINDS,1R15NS065446-01A2,1,R15,NS,65446,1,A2,9522578,"RUSKIN, DAVID NATHANIEL",TRINITY COLLEGE,2010,223594
THE ROLE OF MRL ADAPTOR PROTEIN MIG-10 IN NEURONAL MIGRATION IN C. ELEGANS,NINDS,1R15NS064561-01A1,1,R15,NS,64561,1,A1,9364255,"RYDER, ELIZABETH F.",WORCESTER POLYTECHNIC INSTITUTE,2010,237300
INTRAGENIC SUPPRESSORS OF MCCUNE-ALBRIGHT SYNDROME MUTATIONS,NIDCR,3R15DE020190-01S1,3,R15,DE,20190,1,S1,9315999,"RYLAARSDAM, ROBIN PALS",BENEDICTINE UNIVERSITY,2010,44800
INTRAGENIC SUPPRESSORS OF MCCUNE-ALBRIGHT SYNDROME MUTATIONS,NIDCR,1R15DE020190-01,1,R15,DE,20190,1,,9315999,"RYLAARSDAM, ROBIN PALS",BENEDICTINE UNIVERSITY,2010,178672
CERIUM OXIDE NANOPARTICLES FOR THE TREATMENT OF TRAUMATIC BRAIN INJURY,NINDS,7R15NS072873-02,7,R15,NS,72873,2,,6412958,"RZIGALINSKI, BEVERLY A",VIRGINIA COLLEGE OF OSTEOPATHIC MEDICINE,2011,219348
PLASTICITY AND REGULATION IN XENOPUS ANTERIOR-POSTERIOR PATTERNING,NICHD,1R15HD077624-01,1,R15,HD,77624,1,,1919779,"SAHA, MARGARET S",COLLEGE OF WILLIAM AND MARY,2013,367500
INDUCED IMMUNITY AS A SOURCE OF MATERNAL EFFECTS ON OFFSPRING PHENOTYPE,NICHD,1R15HD076308-01,1,R15,HD,76308,1,,9197721,"SAKALUK, SCOTT K ",ILLINOIS STATE UNIVERSITY,2013,411576
ROLE OF MARCO IN SUSCEPTIBILITY AND RESISTANCE TO TUBERCULOSIS,NIAID,1R15AI094436-01A1,1,R15,AI,94436,1,A1,9898901,"SAKAMOTO, KAORI ",UNIVERSITY OF GEORGIA,2012,404817
OXIDATIVE STRESS: A RECIPE FOR ANXIETY,NIMH,1R15MH093918-01A1,1,R15,MH,93918,1,A1,8549889,"SALIM, SAMINA ",UNIVERSITY OF HOUSTON,2012,443414
IDENTIFICATION AND FUNCTIONAL CHARACTERIZATION OF A NOVEL POSITIVE CIS-CONTROL EL,NIAID,1R15AI098001-01A1,1,R15,AI,98001,1,A1,10218126,"SARAFOVA, SOPHIA DORCHEVA",DAVIDSON COLLEGE,2013,408230
A MATHEMATICAL MODEL OF MICROVASCULAR REMODELING: ENDOTHELIAL DYSFUNCTION IN OBES,NHLBI,1R15HL106648-01,1,R15,HL,106648,1,,9213115,"SARANG-SIEMINSKI, ALISHA LILLY ",FRANKLIN W. OLIN COLLEGE OF ENGINEERING,2011,273000
TRANSCRIPTOME-WIDE POLYADENYLATION SITE USE IN MALE GERM CELL TRANSCRIPTS,NICHD,1R15HD072553-01A1,1,R15,HD,72553,1,A1,10266326,"SARTINI, BECKY ",UNIVERSITY OF RHODE ISLAND,2013,436471
CORRELATING AND QUANTIFYING MECHANICALLY-INDUCED BONE CELL MICRODAMAGE,NIDCR,1R15DE022664-01,1,R15,DE,22664,1,,8145849,"SAUNDERS, MARNIE M.",UNIVERSITY OF AKRON,2012,462311
GENETICS OF CELL SIGNALING IN C. ELEGANS GROWTH REGULATION,NIGMS,1R15GM097692-01,1,R15,GM,97692,1,,1873036,"SAVAGE-DUNN, CATHY ",QUEENS COLLEGE,2011,310000
THE MECHANISM OF FE2+ TRANSPORT BY THE BACTERIAL FERROUS IRON UPTAKE SYSTEM FEO,NIGMS,1R15GM093308-01,1,R15,GM,93308,1,,9536059,"SAZINSKY, MATTHEW H",POMONA COLLEGE,2010,213379
LIPID OVERLOAD AND SKELETAL MUSCLE ENERGETICS.,NIDDK,1R15DK085497-01A1,1,R15,DK,85497,1,A1,6870695,"SCHAEFFER, PAUL J",MIAMI UNIVERSITY OXFORD,2010,426000
PEPTIDE APTAMERS AGAINST PRION PROTEINS AS THERAPEUTIC AND ANALYTIC TOOLS,NINDS,1R15NS074307-01,1,R15,NS,74307,1,,10524464,"SCHATZL, HERMANN M",UNIVERSITY OF WYOMING,2011,357500
THE CONTRIBUTION OF FRAGILE SITE STRUCTURE TO GENOME INSTABILITY IN HUMANIZED YEA,NIGMS,1R15GM102751-01,1,R15,GM,102751,1,,9837854,"SCHEIFELE, LISA Z",LOYOLA UNIVERSITY MARYLAND,2012,238120
THE C-TERMINOME,NIGMS,1R15GM107983-01,1,R15,GM,107983,1,,1888397,"SCHILLER, MARTIN R",UNIVERSITY OF NEVADA LAS VEGAS,2013,442667
EB1 PROTEIN: REGULATOR OF ACTIN PROTRUSION AND CELL MOTILITY,NIGMS,1R15GM093288-01A1,1,R15,GM,93288,1,A1,9939652,"SCHOBER, JOSEPH MARTIN",SOUTHERN ILLINOIS UNIV AT EDWARDSVILLE,2011,214500
UNRAVELING THE ROLES OF VHL AND HYPOXIA-INDUCIBLE FACTOR IN VHL PHENOTYPES,NCI,2R15CA121992-02A1,2,R15,CA,121992,2,A1,1902200,"SCHOENFELD, ALAN R",ADELPHI UNIVERSITY,2011,283108
REGULATION OF RNA POLYMERASE III TRANSCRIPTION BY EGCG,NCI,3R15CA133842-01A1S1,3,R15,CA,133842,1,A1S1,2047792,"SCHRAMM, LAURA M",ST. JOHN'S UNIVERSITY,2013,49219
REGULATION OF RNA POLYMERASE III TRANSCRIPTION BY EGCG,NCI,1R15CA133842-01A1,1,R15,CA,133842,1,A1,2047792,"SCHRAMM, LAURA M",ST. JOHN'S UNIVERSITY,2009,196200
HA IN FUNGAL ALLERGIC ASTHMA,NHLBI,1R15HL117254-01,1,R15,HL,117254,1,,8178833,"SCHUH, JANE M.",NORTH DAKOTA STATE UNIVERSITY,2013,434750
DNA AND RNA STABILITY IN GLYCINE BETAINE; TMAO; AND UREA SOLUTIONS: CORRELATING S,NIGMS,1R15GM093331-01,1,R15,GM,93331,1,,6138944,"SCHWINEFUS, JEFFREY JAMES ",ST. OLAF COLLEGE,2010,195592
EVALUATION OF A NOVEL GLUTATHIONE REDUCTASE INHIBITOR AS A MODEL TO INDUCE THIOL,NHLBI,1R15HL102777-01,1,R15,HL,102777,1,,10070348,"SEEFELDT, TERESA ",SOUTH DAKOTA STATE UNIVERSITY,2010,215281
STRUCTURAL CHARACTERIZATION OF THE M. TUBERCULOSIS THIOREDOXIN SYSTEM,NIAID,1R15AI101975-01,1,R15,AI,101975,1,,1942774,"SEM, DANIEL S",CONCORDIA UNIVERSITY WISCONSIN,2012,382660
MAGNETIC CELLULAR ASSEMBLY AND MICROFLUIDIC CONDITIONING FOR GENERATION OF FUNCTI,NHLBI,1R15HL115556-01A1,1,R15,HL,115556,1,A1,8699699,"SETHU, PALANIAPPAN ",UNIVERSITY OF LOUISVILLE RES FDN,2013,476446
COORDINATING THE DEVELOPMENTAL AND CELL CYCLE PROGRAMS OF SPERMATOGENESIS,NIGMS,1R15GM096309-01,1,R15,GM,96309,1,,1865082,"SHAKES, DIANE C",COLLEGE OF WILLIAM AND MARY,2011,279488
ANALYSIS OF THE COXIELLA BURNETII TYPE IV SECRETION SYSTEM DURING INFECTION,NIAID,3R15AI072710-02A1S1,3,R15,AI,72710,2,A1S1,8313236,"SHAW, EDWARD I.",OKLAHOMA STATE UNIVERSITY STILLWATER,2012,20678
ANALYSIS OF THE COXIELLA BURNETII TYPE IV SECRETION SYSTEM DURING INFECTION,NIAID,2R15AI072710-02A1,2,R15,AI,72710,2,A1,8313236,"SHAW, EDWARD I.",OKLAHOMA STATE UNIVERSITY STILLWATER,2011,347164
AUDITORY PROCESSING OF STOCHASTIC FM IN RELATIONSHIP TO SPEECH PERCEPTION,NIDCD,1R15DC011916-01,1,R15,DC,11916,1,,2063757,"SHEFT, STANLEY E",RUSH UNIVERSITY MEDICAL CENTER,2011,382500
ROLES OF ENDOTHELIAL CELLS IN HIV INFECTION AND LATENCY IN RESTING CD4+ T CELLS,NIAID,1R15AI096991-01,1,R15,AI,96991,1,,9179172,"SHEN, ANDING ",CALVIN COLLEGE,2011,306211
ELUCIDATION AND REGULATION OF RHODOQUINONE BIOSYNTHESIS IN RHODOSPIRILLUM RUBRUM,NIGMS,1R15GM096398-01,1,R15,GM,96398,1,,9466325,"SHEPHERD, JENNIFER NIVEN",GONZAGA UNIVERSITY,2011,241355
SPATIOTEMPORAL COMPARISON OF ABERRANT & ECTOPIC VDJ RECOMBINATION EVENTS IN VIVO,NIAID,1R15AI084023-01A1,1,R15,AI,84023,1,A1,8234266,"SHOCKETT, PENNY ELLEN",SOUTHEASTERN LOUISIANA UNIVERSITY,2010,195195
REFINING AND EVALUATING THE MSU CAM HEALTH LITERACY SCALE,NCCAM,1R15AT006609-01,1,R15,AT,6609,1,,1948801,"SHREFFLER-GRANT, JEAN ",MONTANA STATE UNIVERSITY - BOZEMAN,2011,418471
CONTROL OF BACTERIAL NUCLEOID STRUCTURE,NIGMS,3R15GM096291-01S1,3,R15,GM,96291,1,S1,3168604,"SHRIVER, JOHN W",UNIVERSITY OF ALABAMA IN HUNTSVILLE,2011,98340
CONTROL OF BACTERIAL NUCLEOID STRUCTURE,NIGMS,1R15GM096291-01,1,R15,GM,96291,1,,3168604,"SHRIVER, JOHN W",UNIVERSITY OF ALABAMA IN HUNTSVILLE,2010,441296
COMBINATION OF NANOFIBER SCAFFOLDS WITH GRADATIONS IN FIBER ORGANIZATION AND MINE,NIAMS,1R15AR063901-01,1,R15,AR,63901,1,,11601578,"SHULER, FRANKLIN D.",MARSHALL UNIVERSITY,2013,293004
SELF-FOCUSED ATTENTION; SELF-EVALUATION; AND EFFORT,NIMH,1R15MH079374-01A2,1,R15,MH,79374,1,A2,8024183,"SILVIA, PAUL JOSEPH",UNIVERSITY OF NORTH CAROLINA GREENSBORO,2010,209250
EXPLORING CULTURAL VARIATIONS IN ORAL HEALTH MESSAGES FOR MEXICAN-AMERICANS,NIDCR,1R15DE021873-01A1,1,R15,DE,21873,1,A1,6613376,"SINGELIS, THEODORE MICHAEL",CALIFORNIA STATE UNIVERSITY CHICO,2012,430760
IMMUNE CONTROL OF GIARDIA PATHOGENESIS,NIAID,1R15AI094492-01,1,R15,AI,94492,1,,6660756,"SINGER, STEVEN M",GEORGETOWN UNIVERSITY,2011,460500
SIGNIFICANCE OF FOUR METHIONINE SULFOXIDE REDUCTASES IN STAPHYLOCOCCUS AUREUS,NIAID,1R15AI090680-01,1,R15,AI,90680,1,,7542861,"SINGH, VINEET KUMAR",A.T. STILL UNIVERSITY OF HEALTH SCIENCES,2010,308874
EARLY EXPERIENCES; OXYTOCIN; AND DYSFUNCTIONAL PLAY OF THE FISCHER 344 RAT,NIMH,1R15MH100585-01,1,R15,MH,100585,1,,1920968,"SIVIY, STEPHEN M",GETTYSBURG COLLEGE,2013,298480
CHEMOBIOLOGIC APPROACH TO NAADP SIGNALING,NIGMS,1R15GM100444-01,1,R15,GM,100444,1,,1864679,"SLAMA, JAMES T",UNIVERSITY OF TOLEDO HEALTH SCI CAMPUS,2012,350691
NANOPOROUS DRUG DELIVERY SYSTEMS,NIBIB,1R15EB016401-01,1,R15,EB,16401,1,,6652327,"SMIRNOV, SERGEI N",NEW MEXICO STATE UNIVERSITY LAS CRUCES,2013,419927
MODULATION OF MONOCARBOXYLIC ACID TRANSPORTER KINETIC FUNCTION FOR STROKE THERAPY,NINDS,1R15NS062404-01A2,1,R15,NS,62404,1,A2,6913673,"SMITH, JEFFREY PAUL",COLORADO STATE UNIVERSITY-PUEBLO,2010,303826
THERMODYNAMICS-INSPIRED IMPROVEMENT OF RNA SEARCH IN GENOMIC DATABASES,NIGMS,1R15GM087646-01,1,R15,GM,87646,1,,8029321,"SMITH, JENNIFER ANNE",BOISE STATE UNIVERSITY,2009,211500
MICROBIAL PATTERN RECOGNITION BY THE SOCIAL AMOEBA DICTYOSTELIUM DISCOIDEUM - MOD,NIAID,1R15AI085503-01,1,R15,AI,85503,1,,9781241,"SNYDER, MICHELLE LYNN DYKSTRA",TOWSON UNIVERSITY,2010,194464
REGULATION OF CENTROSOME ASSEMBLY BY PHOSPHORYLATION,NIGMS,1R15GM101633-01,1,R15,GM,101633,1,,10752309,"SONG, MI HYE ",MICHIGAN TECHNOLOGICAL UNIVERSITY,2012,350252
CONVERSATION-BASED INTERVENTION IN AAC,NIDCD,1R15DC012418-01,1,R15,DC,12418,1,,8320060,"SOTO, GLORIA ",SAN FRANCISCO STATE UNIVERSITY,2012,462000
A VIRAL CYTOKINE AS A PROMOTER OF TUMOR PROGRESSION,NCI,3R15CA158767-01S1,3,R15,CA,158767,1,S1,1858594,"SPENCER, JULIET VESCIO",UNIVERSITY OF SAN FRANCISCO,2012,79902
A VIRAL CYTOKINE AS A PROMOTER OF TUMOR PROGRESSION,NCI,1R15CA158767-01,1,R15,CA,158767,1,,1858594,"SPENCER, JULIET VESCIO",UNIVERSITY OF SAN FRANCISCO,2011,412652
DEVELOPMENT OF A RADIOLIGAND FOR ASSAY OF ANGIOTENSIN-CONVERTING ENZYME-2(ACE-2),NHLBI,3R15HL113905-01A1S3,3,R15,HL,113905,1,A1S3,8312409,"SPETH, ROBERT CHARLES",NOVA SOUTHEASTERN UNIVERSITY,2013,20475
DEVELOPMENT OF A RADIOLIGAND FOR ASSAY OF ANGIOTENSIN-CONVERTING ENZYME-2(ACE-2),NHLBI,3R15HL113905-01A1S2,3,R15,HL,113905,1,A1S2,8312409,"SPETH, ROBERT CHARLES",NOVA SOUTHEASTERN UNIVERSITY,2013,10939
DEVELOPMENT OF A RADIOLIGAND FOR ASSAY OF ANGIOTENSIN-CONVERTING ENZYME-2(ACE-2),NHLBI,3R15HL113905-01A1S1,3,R15,HL,113905,1,A1S1,8312409,"SPETH, ROBERT CHARLES",NOVA SOUTHEASTERN UNIVERSITY,2013,10939
DEVELOPMENT OF A RADIOLIGAND FOR ASSAY OF ANGIOTENSIN-CONVERTING ENZYME-2(ACE-2),NHLBI,1R15HL113905-01A1,1,R15,HL,113905,1,A1,8312409,"SPETH, ROBERT CHARLES",NOVA SOUTHEASTERN UNIVERSITY,2013,393677
STRUCTURAL REQUIREMENTS FOR RIBOSOME-DEPENDENT GTPASE ACTIVATION AND HYBRID STATE,NIGMS,1R15GM109387-01,1,R15,GM,109387,1,,9075374,"SPIEGEL, PAUL CLINTON",WESTERN WASHINGTON UNIVERSITY,2014,284083
TEXT MESSAGING TO IMPROVE ADHERENCE TO ORAL CHEMOTHERAPY AGENTS,NCI,1R15CA176595-01,1,R15,CA,176595,1,,9539894,"SPOELSTRA, SANDRA LEE",MICHIGAN STATE UNIVERSITY,2013,464569
DETERMINING FUNCTION OF FLAGELLAR REGULATORY PROTEIN IC138 IN TRYPANOSOMES.,NIAID,7R15AI101941-02,7,R15,AI,101941,2,,10118781,"SPRINGER, AMY L",SIENA COLLEGE,2012,274616
INVESTIGATION OF THE STRUCTURE AND FUNCTION OF UREA AMIDOLYASE,NIGMS,1R15GM097724-01A1,1,R15,GM,97724,1,A1,9491688,"ST. MAURICE, MARTIN RAOUL",MARQUETTE UNIVERSITY,2012,346150
CELLULAR GENOTOXICITY OF PHOTOACTIVATED URANIUM,NIEHS,1R15ES019703-01,1,R15,ES,19703,1,,8082689,"STEARNS, DIANE M",NORTHERN ARIZONA UNIVERSITY,2010,447000
ASSESSING GABAERGIC INVOLVEMENT IN SCHIZOPHRENIA-LIKE COGNITIVE DEFICITS IN RATS,NIMH,1R15MH097223-01,1,R15,MH,97223,1,,1901492,"STEFANI, MARK RENATO",MIDDLEBURY COLLEGE,2012,345396
CELLULAR REGULATION OF DICTYOSTELIUM MYOSIN HEAVY CHAIN KINASES,NIGMS,2R15GM066789-03,2,R15,GM,66789,3,,6064270,"STEIMLE, PAUL A",UNIVERSITY OF NORTH CAROLINA GREENSBORO,2012,287000
THE LINK BETWEEN MRNA 3' END PROCESSING AND SIRNA BIOGENESIS IN DROSOPHILA,NIGMS,1R15GM107931-01,1,R15,GM,107931,1,,11619388,"STEINIGER, MINDY ",UNIVERSITY OF MISSOURI-ST. LOUIS,2013,329584
1;2;3-TRIAZOLE NUCLEOBASES IN ANTIVIRAL NUCLEOSIDE ANALOGUES,NIAID,1R15AI088558-01,1,R15,AI,88558,1,,1973652,"STEVENS, ERLAND P",DAVIDSON COLLEGE,2010,212901
TRANSCRIPTIONAL CONTROL OF BMP-2 EXPRESSION IN CHONDROCYTES,NIAMS,1R15AR060003-01,1,R15,AR,60003,1,,8569498,"STEWART, MATTHEW C ",UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN,2010,208869
NOVEL INTERDISCIPLINARY INTRA-ORAL DIABETES SCREENING IN DENTAL PATIENTS,NIDCR,1R15DE023201-01,1,R15,DE,23201,1,,7089562,"STRAUSS, SHIELA M",NEW YORK UNIVERSITY,2013,336433
ANTIBIOTIC PROPERTIES OF ARTIFICIAL AGONISTS FOR A BACTERIAL RIBOSWITCH,NIGMS,2R15GM083641-02,2,R15,GM,83641,2,,2119594,"STRAUSS-SOUKUP, JULIANE K",CREIGHTON UNIVERSITY,2010,435776
TARGETING BINGE EATING TO PREVENT WEIGHT GAIN IN COLLEGE STUDENTS,NIDDK,1R15DK092768-01A1,1,R15,DK,92768,1,A1,1884954,"STRIEGEL, RUTH H",WESLEYAN UNIVERSITY,2012,492300
MECHANISMS BY WHICH EXERCISE TRAINING AMELIORATES THE METABOLIC SYNDROME,NIDDK,2R15DK080488-02,2,R15,DK,80488,2,,1870102,"STUART, CHARLES A",EAST TENNESSEE STATE UNIVERSITY,2011,387173
THE HIG1 PROTEIN FAMILY AND THE CYTOCHROME C OXIDASE COMPLEX,NIGMS,1R15GM101594-01,1,R15,GM,101594,1,,6369851,"STUART, ROSEMARY A",MARQUETTE UNIVERSITY,2012,337451
EPIGENOTYPING IN PERIPHERAL BLOOD CELL DNA AND RISK OF BREAST CANCER,NCI,1R15CA170111-01A1,1,R15,CA,170111,1,A1,7937432,"STURGEON, SUSAN R",UNIVERSITY OF MASSACHUSETTS AMHERST,2013,414801
DRUG DEVELOPMENT OF ORALLY ACTIVE ANTI-TRYPANOSOMIASIS AGENTS,NIAID,1R15AI103889-01,1,R15,AI,103889,1,,10717423,"SU, BIN ",CLEVELAND STATE UNIVERSITY,2013,436500
SYNTHESIS OF GLYCOPEPTIDE-BASED CANCER ANTIGEN VACCINES,NIGMS,1R15GM094734-01A1,1,R15,GM,94734,1,A1,9363518,"SUCHECK, STEVEN  ",UNIVERSITY OF TOLEDO,2011,334651
INNATE IMMUNE RESPONSE TO MICROBIAL PAMPS IN THE SCHISTOSOME-TRANSMITTING SNAIL;,NIAID,1R15AI097967-01,1,R15,AI,97967,1,,1891276,"SULLIVAN, JOHN T.",UNIVERSITY OF SAN FRANCISCO,2012,296713
DEVELOPMENT OF PIPERIDINOLS AND ENGELHARDIONES AS NOVEL ANTITUBERCULOSIS AGENTS,NIAID,1R15AI092315-01,1,R15,AI,92315,1,,10372306,"SUN, DIANQING ",UNIVERSITY OF HAWAII AT HILO,2011,406257
EXCITATION AND INHIBITION BALANCE: SENSITIVE PERIOD PLASTICITY,NINDS,1R15NS081628-01A1,1,R15,NS,81628,1,A1,6915918,"SUN, QIANQUAN ",UNIVERSITY OF WYOMING,2013,421121
NEIGHBORHOOD CHANGE AND VIOLENCE IN ADOLESCENCE AND EMERGING ADULTHOOD,NICHD,1R15HD070098-01A1,1,R15,HD,70098,1,A1,7925994,"SWISHER, RAYMOND RUSSELL",BOWLING GREEN STATE UNIVERSITY,2013,417000
MECHANISMS  FOR CERAMIDE MEDIATED VASCULAR DYSFUNCTION,NHLBI,2R15HL091493-02A1,2,R15,HL,91493,2,A1,6099762,"SYMONS, JOHN DAVID",UNIVERSITY OF UTAH,2012,436594
